Algorithm,k,ncp
arx,50,10.99648311
arx,100,11.17609265
arx,150,11.52979889
arx,200,11.96185716
arx,250,12.26072441
arx,300,12.69752035
arx,350,12.85186991
arx,400,13.05784143
arx,450,13.35703827
arx,500,13.53515592
mondrian,50,26.37732133
mondrian,100,30.41042733
mondrian,150,32.66536686
mondrian,200,33.38094388
mondrian,250,34.05356806
mondrian,300,34.15147081
mondrian,350,39.55156221
mondrian,400,40.48289605
mondrian,450,43.71465265
mondrian,500,46.70304065
oka,50,20.20854055
oka,100,21.92116373
oka,150,22.8859459
oka,200,25.43070541
oka,250,26.60176445
oka,300,28.03302293
oka,350,29.47194748
oka,400,30.86020859
oka,450,30.95827228
oka,500,30.58178822
