80.0;80-85;80-90;80-100;*
54.0;50-55;50-60;40-60;*
28.0;25-30;20-30;20-40;*
36.0;35-40;30-40;20-40;*
76.0;75-80;70-80;60-80;*
20.0;20-25;20-30;20-40;*
44.0;40-45;40-50;40-60;*
79.0;75-80;70-80;60-80;*
42.0;40-45;40-50;40-60;*
32.0;30-35;30-40;20-40;*
53.0;50-55;50-60;40-60;*
78.0;75-80;70-80;60-80;*
67.0;65-70;60-70;60-80;*
15.0;15-20;10-20;0-20;*
37.0;35-40;30-40;20-40;*
40.0;40-45;40-50;40-60;*
5.0;5-10;0-10;0-20;*
69.0;65-70;60-70;60-80;*
72.0;70-75;70-80;60-80;*
4.0;0-5;0-10;0-20;*
30.0;30-35;30-40;20-40;*
45.0;45-50;40-50;40-60;*
43.0;40-45;40-50;40-60;*
50.0;50-55;50-60;40-60;*
41.0;40-45;40-50;40-60;*
26.0;25-30;20-30;20-40;*
34.0;30-35;30-40;20-40;*
73.0;70-75;70-80;60-80;*
77.0;75-80;70-80;60-80;*
66.0;65-70;60-70;60-80;*
29.0;25-30;20-30;20-40;*
60.0;60-65;60-70;60-80;*
38.0;35-40;30-40;20-40;*
3.0;0-5;0-10;0-20;*
57.0;55-60;50-60;40-60;*
74.0;70-75;70-80;60-80;*
19.0;15-20;10-20;0-20;*
46.0;45-50;40-50;40-60;*
21.0;20-25;20-30;20-40;*
59.0;55-60;50-60;40-60;*
27.0;25-30;20-30;20-40;*
13.0;10-15;10-20;0-20;*
56.0;55-60;50-60;40-60;*
2.0;0-5;0-10;0-20;*
7.0;5-10;0-10;0-20;*
11.0;10-15;10-20;0-20;*
6.0;5-10;0-10;0-20;*
55.0;55-60;50-60;40-60;*
9.0;5-10;0-10;0-20;*
62.0;60-65;60-70;60-80;*
47.0;45-50;40-50;40-60;*
12.0;10-15;10-20;0-20;*
68.0;65-70;60-70;60-80;*
75.0;75-80;70-80;60-80;*
22.0;20-25;20-30;20-40;*
58.0;55-60;50-60;40-60;*
18.0;15-20;10-20;0-20;*
24.0;20-25;20-30;20-40;*
17.0;15-20;10-20;0-20;*
25.0;25-30;20-30;20-40;*
0.08;0-5;0-10;0-20;*
33.0;30-35;30-40;20-40;*
16.0;15-20;10-20;0-20;*
61.0;60-65;60-70;60-80;*
31.0;30-35;30-40;20-40;*
8.0;5-10;0-10;0-20;*
49.0;45-50;40-50;40-60;*
39.0;35-40;30-40;20-40;*
65.0;65-70;60-70;60-80;*
14.0;10-15;10-20;0-20;*
70.0;70-75;70-80;60-80;*
0.56;0-5;0-10;0-20;*
48.0;45-50;40-50;40-60;*
51.0;50-55;50-60;40-60;*
71.0;70-75;70-80;60-80;*
0.88;0-5;0-10;0-20;*
64.0;60-65;60-70;60-80;*
63.0;60-65;60-70;60-80;*
52.0;50-55;50-60;40-60;*
0.16;0-5;0-10;0-20;*
10.0;10-15;10-20;0-20;*
35.0;35-40;30-40;20-40;*
23.0;20-25;20-30;20-40;*
0.64;0-5;0-10;0-20;*
1.16;0-5;0-10;0-20;*
1.64;0-5;0-10;0-20;*
0.72;0-5;0-10;0-20;*
1.88;0-5;0-10;0-20;*
1.32;0-5;0-10;0-20;*
0.8;0-5;0-10;0-20;*
1.24;0-5;0-10;0-20;*
1.0;0-5;0-10;0-20;*
1.8;0-5;0-10;0-20;*
0.48;0-5;0-10;0-20;*
1.56;0-5;0-10;0-20;*
1.08;0-5;0-10;0-20;*
0.24;0-5;0-10;0-20;*
1.4;0-5;0-10;0-20;*
0.4;0-5;0-10;0-20;*
0.32;0-5;0-10;0-20;*
1.72;0-5;0-10;0-20;*
1.48;0-5;0-10;0-20;*
